year,Place,Country,City,Products,client_id,In-Price,Margin,VAT,Out_px,Count,Price_customer,Cost_product,Profit,Product_rate,Minimum for a product
6-Jul,America,Chile,Chile,Phones,201,500,150,95,745,10,7450,5000,2448.1,Average,8940
6-Jul,America,US,DC,Laptops,434,2000,600,380,2980,3,8940,6000,2939.43,Average,596
6-Jul,America,US,DC,Bikes ,301,100,30,19,149,10,1490,1000,488.1,Average,596
6-Jul,America,US,DC,Bikes ,301,300,90,57,447,2,894,600,293.62,Average,596
6-Jul,America,US,DC,Bikes ,301,100,30,19,149,4,596,400,195.24,Average,8940
6-Jul,America,US,DC,Laptops,434,1000,300,190,1490,6,8940,6000,2938.86,Average,7450
6-Jul,America,US,NY,Phones,201,500,150,95,745,50,37250,25000,12240.5,Average,7450
7-Jul,America,US,NY,Phones,201,500,150,95,745,30,22350,15000,7344.3,Average,8940
7-Jul,America,US,NY,Laptops,434,4000,1200,760,5960,10,59600,40000,19598.1,Good,8940
7-Jul,America,US,NY,Laptops,434,2000,600,380,2980,5,14900,10000,4899.05,Average,596
7-Jul,America,US,NY,Bikes ,301,200,60,38,298,20,5960,4000,1956.2,Average,596
7-Jul,Europe,Germany,B,Bikes ,301,500,150,95,745,50,37250,25000,12240.5,Average,8940
7-Jul,Europe,Germany,B,Laptops,454,4000,1200,760,5960,100,596000,400000,195981,Good,8940
7-Jul,Europe,Germany,B,Laptops,454,4000,1200,760,5960,50,298000,200000,97990.5,Good,8940
7-Jul,Europe,Germany,B,Laptops,454,4000,1200,760,5960,50,298000,200000,97990.5,Good,8940
8-Jul,Europe,Germany,B,Laptops,454,4000,1200,760,5960,50,298000,200000,97990.5,Good,8940
8-Jul,Europe,Netherlands,Amsterdam,Laptops,456,4000,1200,760,5960,50,298000,200000,97990.5,Good,8940
8-Jul,Europe,Netherlands,Amsterdam,Laptops,456,4000,1200,760,5960,50,298000,200000,97990.5,Good,596
8-Jul,Europe,Netherlands,Amsterdam,Bikes ,301,1000,300,190,1490,30,44700,30000,14694.3,Average,596
8-Jul,Europe,Netherlands,Amsterdam,Bikes ,302,1000,300,190,1490,30,44700,30000,14694.3,Good,596
8-Jul,Europe,Netherlands,Amsterdam,Bikes ,302,1000,300,190,1490,30,44700,30000,14694.3,Good,596
8-Jul,Europe,Netherlands,Amsterdam,Bikes ,302,1000,300,190,1490,30,44700,30000,14694.3,Good,596
8-Jul,Europe,Netherlands,Amsterdam,Bikes ,302,1000,300,190,1490,30,44700,30000,14694.3,Good,7450
8-Jul,Europe,Netherlands,Amsterdam,Phones,202,500,150,95,745,10,7450,5000,2448.1,Good,596
8-Jul,Africa,Egypt,Cairo,Bikes ,302,1000,300,190,1490,100,149000,100000,48981,Good,596
9-Jul,Africa,Egypt,Cairo,Bikes ,302,1000,300,190,1490,100,149000,100000,48981,Good,596
9-Jul,Africa,Egypt,Cairo,Bikes ,303,1000,300,190,1490,100,149000,100000,48981,Good,596
9-Jul,Africa,Egypt,Cairo,Bikes ,303,1000,300,190,1490,100,149000,100000,48981,Good,7450
9-Jul,Africa,Egypt,Cairo,Phones,202,500,150,95,745,50,37250,25000,12240.5,Good,7450
9-Jul,Africa,Egypt,Cairo,Phones,202,500,150,95,745,50,37250,25000,12240.5,Good,7450
9-Jul,Africa,Egypt,Cairo,Phones,203,500,150,95,745,50,37250,25000,12240.5,Good,7450
9-Jul,Africa,Egypt,Cairo,Phones,203,500,150,95,745,50,37250,25000,12240.5,Good,7450
9-Jul,Africa,Egypt,Cairo,Phones,203,500,150,95,745,50,37250,25000,12240.5,Good,8940
9-Jul,Africa,Kenya,Rwanda,Laptops,456,4000,1200,760,5960,100,596000,400000,195981,Good,8940
10-Jul,Africa,Kenya,Rwanda,Laptops,456,4000,1200,760,5960,100,596000,400000,195981,Good,8940
10-Jul,Africa,Kenya,Rwanda,Laptops,457,4000,1200,760,5960,100,596000,400000,195981,Good,8940
10-Jul,Africa,Kenya,Rwanda,Laptops,457,4000,1200,760,5960,100,596000,400000,195981,Good,8940
10-Jul,Africa,Kenya,Rwanda,Laptops,457,4000,1200,760,5960,100,596000,400000,195981,Good,8940
10-Jul,Africa,Kenya,Rwanda,Laptops,457,4000,1200,760,5960,100,596000,400000,195981,Good,596
10-Jul,Africa,Kenya,Rwanda,Bikes ,303,1000,300,190,1490,40,59600,40000,19592.4,Good,596
10-Jul,Africa,Kenya,Rwanda,Bikes ,303,1000,300,190,1490,40,59600,40000,19592.4,Good,596
10-Jul,Africa,Kenya,Rwanda,Bikes ,303,1000,300,190,1490,40,59600,40000,19592.4,Good,596
11-Jul,Africa,Nigeria,Togo,Bikes ,303,1000,300,190,1490,40,59600,40000,19592.4,Good,596
11-Jul,Africa,Nigeria,Togo,Bikes ,307,1000,300,190,1490,40,59600,40000,19592.4,Good,596
11-Jul,Africa,Nigeria,Togo,Bikes ,307,1000,300,190,1490,40,59600,40000,19592.4,Good,596
11-Jul,Africa,Nigeria,Togo,Bikes ,307,1000,300,190,1490,40,59600,40000,19592.4,Good,596
11-Jul,Africa,Nigeria,Togo,Bikes ,307,1000,300,190,1490,40,59600,40000,19592.4,Good,596
11-Jul,Africa,Nigeria,Togo,Bikes ,307,1000,300,190,1490,40,59600,40000,19592.4,Good,596
11-Jul,Africa,SouthAfrica,Cape,Bikes ,307,1000,300,190,1490,40,59600,40000,19592.4,Good,596
11-Jul,Africa,SouthAfrica,Cape,Bikes ,308,1000,300,190,1490,40,59600,40000,19592.4,Good,596
12-Jul,Africa,SouthAfrica,Cape,Bikes ,308,1000,300,190,1490,40,59600,40000,19592.4,Good,596
12-Jul,Asia,China,Beijing,Bikes ,308,1000,300,190,1490,40,59600,40000,19592.4,Good,596
12-Jul,Asia,China,Beijing,Bikes ,308,1000,300,190,1490,40,59600,40000,19592.4,Good,596
12-Jul,Asia,China,Beijing,Bikes ,308,1000,300,190,1490,40,59600,40000,19592.4,Good,596
12-Jul,Asia,China,Beijing,Bikes ,308,1000,300,190,1490,40,59600,40000,19592.4,Good,596
12-Jul,Asia,China,Beijing,Bikes ,309,1000,300,190,1490,40,59600,40000,19592.4,Good,596
12-Jul,Asia,China,Beijing,Bikes ,309,1000,300,190,1490,40,59600,40000,19592.4,Good,596
12-Jul,Asia,China,Beijing,Bikes ,309,1000,300,190,1490,40,59600,40000,19592.4,Good,0
